Walc,G1
Very Low,5
Very Low,5
Average,7
Very Low,15
Low,6
Low,15
Very Low,12
Very Low,6
Very Low,16
Very Low,14
Low,10
Very Low,10
Average,14
Low,10
Very Low,14
Low,14
Low,13
Very Low,8
High,6
Average,8
Very Low,13
Very Low,12
Average,15
High,13
Very Low,10
Average,6
Low,12
High,15
Very Low,11
Very High,10
High,9
Very Low,17
Very Low,17
Very Low,8
Very Low,12
Very Low,8
Very Low,15
Very Low,15
Very Low,12
Very Low,14
Low,7
High,12
Very Low,19
Very Low,8
Low,10
Very Low,8
High,11
Very Low,19
Low,15
Very Low,7
Average,12
Very Low,11
High,11
Average,8
High,10
Very Low,8
Very Low,14
Very Low,14
Very Low,9
Very Low,15
Average,10
Very High,10
Very Low,8
High,10
High,10
Low,16
Very High,13
Low,7
Average,8
Average,16
Very Low,13
Very Low,10
High,8
Low,12
High,11
Average,9
Very Low,11
Average,11
Very Low,8
Low,5
Average,10
Low,11
Very Low,7
Average,15
Average,9
Average,7
Low,8
Average,13
Very Low,11
Very High,8
Average,7
Average,16
Average,7
Very Low,11
Very Low,11
Very Low,7
Very Low,11
Very Low,8
Low,11
Very Low,7
Very High,7
Very Low,16
Very Low,10
Very Low,7
Very Low,16
Very Low,10
Very Low,7
Very Low,16
Very High,10
Very Low,14
Very Low,18
Very Low,7
Very Low,10
Very Low,18
Very Low,9
Low,15
Very Low,11
Very Low,13
High,9
Low,14
Low,16
Low,16
Low,13
High,14
Very Low,8
Low,13
Very Low,7
Very Low,7
Low,7
Very High,18
Low,12
Low,8
Average,10
High,12
Very Low,9
Very Low,11
High,10
Very Low,4
Average,14
Very Low,16
Very Low,7
Low,9
Very Low,9
Average,14
Low,5
Low,8
Very Low,6
Very Low,10
Very Low,7
Very High,8
Very High,6
Very High,12
Average,10
Very Low,5
Very Low,11
Very Low,11
Average,16
Very High,9
Low,17
High,10
Low,7
High,5
High,7
High,10
Very High,5
Very Low,12
High,10
Very Low,14
Very Low,6
Very Low,14
High,6
Very Low,13
Average,13
Very Low,8
Very Low,10
High,10
High,13
High,6
High,10
Very Low,10
Average,9
Low,12
Average,16
Average,9
Low,12
Average,12
Low,11
Low,15
Average,8
Very High,8
Very Low,11
Very Low,8
Very High,7
High,8
Very Low,13
Very Low,14
Low,17
Very High,9
Average,18
Low,9
Very High,16
Average,8
Average,9
Low,7
Very Low,10
High,10
Low,7
Very Low,11
High,9
Very Low,7
Low,8
Very High,12
Very Low,12
High,6
Low,8
Average,14
High,6
High,6
High,7
Very Low,9
Low,6
Very Low,6
Very Low,16
Very High,12
Very Low,13
Very Low,9
Average,16
Average,12
Very High,10
Low,12
Low,13
Very Low,11
Average,11
High,14
Very Low,9
Average,11
Very High,14
Very Low,13
Very Low,13
Very High,7
High,12
Average,10
Very Low,6
Low,13
Very Low,7
Very Low,18
Very Low,12
Very High,6
Average,3
High,13
High,6
Average,7
Very High,6
Average,8
High,8
Low,7
Very Low,14
Very Low,11
Low,15
Very Low,10
Average,17
Very Low,8
Very Low,13
Very Low,10
Very Low,9
High,17
High,9
Low,12
Average,10
Low,6
Average,9
Average,15
Very Low,11
Low,15
Very Low,10
Average,12
Very Low,10
High,9
Very Low,9
Low,10
High,8
High,11
Very Low,12
Very Low,8
Low,10
Low,12
Low,18
Very Low,13
Average,15
Very Low,15
High,12
Low,15
Very Low,12
Very Low,18
Very Low,14
Average,14
Average,10
Low,10
Very Low,14
Low,16
Very Low,12
Low,11
Very Low,15
Low,17
Very Low,15
Very Low,14
Very Low,17
Very Low,8
Low,15
Average,12
Low,9
Very Low,14
Low,13
Low,13
Very Low,15
Very Low,13
Low,8
Very Low,9
Very High,11
Average,11
Low,13
Very Low,11
Low,11
Average,12
Average,16
Low,9
Very High,14
Very High,11
Average,10
Low,14
High,9
Very Low,12
Very Low,7
Very Low,8
Very Low,10
Average,16
Low,14
Average,7
Very Low,16
Average,9
Average,11
Low,10
Average,16
Low,9
Low,11
Average,13
Low,16
Average,10
Average,13
Very High,11
Average,8
Average,13
Average,8
Average,8
Average,13
Very Low,10
Low,12
Low,12
Low,10
Very Low,18
High,13
Average,13
Average,11
Very Low,16
Low,12
High,10
Low,13
Low,7
Low,11
Low,14
Very Low,7
Average,14
Very Low,13
Average,6
Very Low,19
Low,8
Very Low,15
High,8
Low,15
Average,10
High,15
Average,7
Very Low,11
Average,6
Average,6
Average,10
Low,6
Low,7
Very Low,7
Very Low,6
Very High,9
High,14
Average,10
High,11
Average,8
Very Low,0
Very Low,9
Average,12
Very Low,14
Low,11
Low,12
Very Low,13
Very Low,10
Very Low,15
Very Low,12
Low,14
Very Low,10
Average,12
Low,12
Very Low,14
Low,17
Low,13
Very Low,13
High,8
Average,12
Very Low,12
Very Low,11
Average,12
High,10
Very Low,10
Average,10
Low,11
High,11
Very Low,12
Very High,12
High,10
Very Low,15
Very Low,13
Very Low,13
Very Low,12
Very Low,11
Very Low,14
Very Low,13
Very Low,11
Very Low,14
Low,11
High,10
Very Low,14
Very Low,9
Low,10
Very Low,10
High,13
Very Low,17
Low,11
Very Low,13
Average,14
Very Low,16
High,10
Average,13
High,13
Very Low,12
Very Low,15
Very Low,15
Very Low,14
Very Low,16
Average,17
Very High,10
Very Low,13
High,14
High,13
Low,16
Very High,11
Low,10
Average,11
Average,15
Very Low,13
Very Low,11
High,13
Low,13
High,11
Average,11
Very Low,12
Average,13
Very Low,9
Low,12
Average,11
Low,10
Very Low,12
Average,13
Average,13
Average,12
Low,13
Average,15
Very Low,12
Very High,9
Average,9
Average,14
Average,12
Very Low,13
Very Low,11
Very Low,13
Very Low,9
Very Low,13
Low,12
Very Low,12
Very High,9
Very Low,16
Very Low,12
Very Low,11
Very Low,16
Very Low,10
Very Low,10
Very Low,13
Very High,12
Very Low,15
Very Low,13
Very Low,11
Very Low,8
Very Low,18
Very Low,10
Low,16
Very Low,16
Very Low,14
High,12
Low,14
Low,14
Low,14
Low,14
High,12
Very Low,12
Low,9
Very Low,10
Very Low,9
Very High,14
Low,13
Low,10
Average,10
Low,11
Low,11
Average,13
High,15
Very Low,9
Very Low,13
Very Low,12
Very Low,13
High,10
Very Low,14
Very High,11
Very Low,12
Low,12
Very Low,9
Average,10
Very Low,13
Very Low,8
Very Low,9
Average,9
Average,15
Low,12
Very Low,13
Average,10
Low,9
Low,12
Very Low,11
Very Low,11
Very Low,13
High,11
Very Low,9
Very High,12
Very High,11
Very High,9
Average,13
Very Low,11
Very Low,13
Very Low,7
Average,9
Very High,11
Low,12
High,10
Very High,9
Low,8
High,7
High,8
High,9
Very High,8
Very Low,8
High,9
Very Low,17
Very Low,12
Very Low,16
High,9
Very Low,16
Average,11
Very Low,14
Very Low,14
High,10
High,13
High,11
High,10
Very Low,11
Average,11
Low,11
Average,17
Average,14
Low,14
Average,11
Low,10
Low,13
Average,12
Very High,9
Very Low,12
Very Low,12
Very High,10
High,11
Very Low,13
Very Low,14
Low,13
Very High,10
Average,14
Low,11
Very High,14
Average,11
Average,14
Low,13
Very Low,13
High,8
Low,11
Very Low,14
High,12
Very Low,11
Low,12
Very High,13
Very Low,13
High,12
Low,12
Average,14
High,11
High,10
High,12
Very Low,12
Low,11
Very Low,12
Very Low,13
Very High,10
Very Low,15
Very Low,8
Average,17
Average,10
Very High,9
Low,15
Low,14
Very Low,12
Average,13
High,13
Very Low,9
Average,12
Very High,16
Very Low,9
Low,14
Very Low,10
Very Low,9
Very Low,8
Low,7
Low,10
Very Low,14
Low,11
Low,12
Very Low,13
Very Low,9
Very High,8
Very Low,11
Average,15
Very Low,15
High,15
Average,12
Very Low,14
Low,14
High,11
Very Low,13
Average,11
Very Low,10
Very Low,12
Very Low,15
Low,11
Very Low,9
Very High,7
Average,10
High,11
High,7
Average,9
Very High,7
Average,14
High,12
Low,9
Average,12
Very Low,14
Very Low,10
High,11
Average,11
Average,11
Very Low,11
Very Low,11
Low,16
Very Low,9
Very Low,10
Low,10
Average,15
Very Low,10
Very Low,10
Very Low,15
Very Low,11
Average,8
High,15
High,11
Low,10
Average,10
Low,8
Average,11
Average,16
Very Low,13
Low,16
Low,14
Very Low,15
Average,12
Very Low,12
High,11
Very Low,14
Very Low,13
Average,9
Low,10
High,10
High,11
High,13
Very Low,17
Very Low,12
Low,12
Very Low,12
Low,12
Low,18
Very Low,13
Average,14
Very Low,17
High,15
Low,17
Very Low,18
Very Low,14
Average,14
Average,14
Low,13
Very Low,16
Low,18
Very Low,14
Low,12
Very Low,7
Very Low,16
Low,18
Very Low,9
Very Low,14
Low,10
Low,10
Low,12
Very Low,11
Very Low,15
Very Low,14
High,12
Very High,15
Very Low,11
Very Low,11
Average,12
Very Low,11
Low,14
Low,15
Very Low,12
Low,11
High,8
Average,10
Very Low,8
High,10
Very Low,14
Low,11
Average,17
Average,14
Low,14
Low,13
Very High,17
Very High,11
Average,13
Low,15
Very High,11
High,11
Low,11
Very Low,10
Very Low,15
Low,15
Very Low,10
Very Low,10
Very Low,14
Average,11
Average,12
Very Low,14
Average,14
Low,12
Average,16
Low,10
Low,11
Average,14
Low,15
Average,14
Average,11
Low,12
High,12
High,10
Very Low,10
Very Low,9
Average,9
High,13
Average,13
Low,12
Very Low,14
Low,9
Average,11
High,9
Low,16
Low,14
Very High,13
High,7
Average,14
Very Low,8
Low,10
Average,10
Very Low,12
Very Low,10
Average,10
Low,16
Very Low,6
Average,10
Very Low,10
Low,10
Low,6
Very High,13
Very Low,10
Low,10
Low,6
Low,12
Average,10
Very Low,14
Very High,7
High,8
Low,12
Low,7
Low,9
High,7
Very Low,11
Very High,8
Very Low,16
Very Low,11
Low,15
Very Low,10
Very Low,9
Low,10
Low,9
Average,9
Very Low,13
Very High,10
Very Low,13
Very Low,10
Very Low,11
Average,13
Low,13
Low,14
High,11
Average,9
Average,10
Very Low,14
Low,13
Very Low,13
Very Low,13
Average,12
Very Low,14
Average,10
Very High,10
Very Low,12
Very Low,10
High,12
Very Low,7
Very Low,9
Very Low,9
Very Low,9
Average,9
Low,9
Low,7
Low,11
High,9
Very Low,7
Very Low,7
High,8
Very Low,9
Very Low,7
Very Low,8
Very High,9
Average,8
Very Low,14
Low,14
High,10
Very Low,14
Low,17
Very High,6
Very High,14
Very High,10
Very Low,14
Very Low,12
Low,11
High,11
Very Low,11
Low,10
Very Low,16
Very Low,15
Very Low,11
Very Low,7
Average,8
High,7
High,9
Average,14
High,14
Average,8
Very Low,8
Average,6
Very Low,8
Low,8
Very High,5
Very Low,7
Low,15
Low,13
Low,10
Low,9
Low,11
Very High,7
Average,10
High,9
Very Low,14
Very High,11
Average,9
Average,13
Low,12
Low,11
Low,9
Low,9
Very Low,11
High,10
Average,9
Average,12
High,8
Very Low,13
Very Low,10
Low,11
Average,17
Low,12
Low,13
High,9
Very Low,11
Low,10
Very Low,13
High,9
Very Low,7
Very High,8
Very Low,12
Average,10
High,10
Very Low,11
Average,7
Average,11
High,10
Average,9
Low,4
Very Low,6
Average,4
High,7
Average,8
Very Low,5
Low,7
High,8
High,10
Very High,9
Average,10
Average,8
Average,9
Average,8
Very Low,6
Very Low,6
Very Low,8
Very Low,10
Low,8
Average,8
Low,7
Very Low,8
Very Low,7
Low,7
Very Low,12
Very Low,11
Low,12
Low,18
Very Low,17
Low,17
Very Low,9
Very High,10
Very Low,12
High,12
Very Low,8
High,11
Very Low,5
Low,9
Average,5
Very Low,18
Low,11
Low,8
Very Low,11
High,8
Very Low,14
Average,10
Very Low,10
Low,12
Low,15
Low,14
Very Low,19
High,16
Average,13
Very Low,15
Low,13
High,8
Low,15
Low,8
Low,10
Low,7
Average,9
Very Low,10
Average,7
Very Low,15
Low,10
Very Low,7
High,13
Low,16
Average,8
High,17
Average,7
Very Low,14
Average,5
Average,7
Average,14
Very Low,6
Low,7
Low,10
Very Low,15
Very Low,11
High,10
High,10
